JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 14690.000,  1710.240,   302.671,     4.183,     0.000,     0.000,     0.000,     0.250,   127.111,  1491.100,     1.000,     0.000,     5.011,   -24.525,     0.000,   317.857,   349.957,    16.940,   -24.516,     0.000,         0.000,
 14691.000,  1282.091,   302.758,     4.185,     0.000,     0.000,     0.000,     0.250,   127.198,  1491.100,     1.000,     0.000,     5.070,   -15.561,     0.000,   329.950,   351.934,    15.498,   -21.922,     0.000,         0.000,
 14692.000,  1433.493,   302.851,     4.185,     0.000,     0.000,     0.000,     0.250,   127.291,  1491.100,     1.000,     0.000,     5.128,   -44.629,     0.000,   304.250,   351.914,    16.717,   -19.751,     0.000,         0.000,
 14693.000,  2195.580,   302.925,     4.187,     0.000,     0.000,     0.000,     0.250,   127.365,  1491.100,     1.000,     0.000,     5.324,   -86.491,     0.000,   290.546,   354.520,    42.342,   -19.824,     0.000,         0.000,
 14694.000,   796.394,   302.974,     4.188,     0.000,     0.000,     0.000,     0.250,   127.414,  1491.100,     1.000,     0.000,     5.398,   -74.760,     0.000,   291.823,   356.397,    27.118,   -16.932,     0.000,         0.000,
 14695.000,  2176.517,   303.010,     4.183,     0.000,     0.000,     0.000,     0.250,   127.450,  1491.100,     1.000,     0.000,     5.238,   -94.747,     0.000,   280.839,   357.085,    23.302,    -4.800,     0.000,         0.000,
 14696.000,  1767.558,   303.029,     4.181,     0.000,     0.000,     0.000,     0.250,   127.469,  1491.100,     1.000,     0.000,     5.518,  -106.363,     0.000,   284.008,   358.442,    44.447,   -12.518,     0.000,         0.000,
 14697.000,  1616.190,   303.042,     4.177,     0.000,     0.000,     0.000,     0.250,   127.482,  1491.100,     1.000,     0.000,     5.757,  -120.283,     0.000,   290.472,   360.466,    66.723,   -16.434,     0.000,         0.000,
 14698.000,  1512.742,   303.083,     4.166,     0.000,     0.000,     0.000,     0.250,   127.523,  1507.400,     1.000,     0.000,     5.719,  -128.324,     0.000,   285.382,   361.619,    61.303,    -9.216,     0.000,         0.000,
 14699.000,  1819.921,   303.128,     4.160,     0.000,     0.000,     0.000,     0.250,   127.568,  1507.400,     1.000,     0.000,     5.666,  -133.286,     0.000,   284.545,   362.375,    63.218,    -7.762,     0.000,         0.000,
 14700.000,  1808.864,   303.166,     4.164,     0.000,     0.000,     0.000,     0.250,   127.606,  1507.400,     1.000,     0.000,     5.646,  -121.982,     0.000,   285.313,   364.083,    49.452,    -6.240,     0.000,         0.000,
 14701.000,  1249.187,   303.162,     4.162,     0.000,     0.000,     0.000,     0.250,   127.602,  1507.400,     1.000,     0.000,     5.417,  -115.604,     0.000,   286.939,   363.665,    46.776,    -7.899,     0.000,         0.000,
 14702.000,  1858.311,   303.139,     4.164,     0.000,     0.000,     0.000,     0.250,   127.579,  1507.400,     1.000,     0.000,     5.612,  -118.802,     0.000,   287.061,   365.341,    46.992,    -6.469,     0.000,         0.000,
 14703.000,  1648.759,   303.108,     4.169,     0.000,     0.000,     0.000,     0.250,   127.548,  1507.400,     1.000,     0.000,     5.941,   -95.818,     0.000,   309.753,   367.542,    60.427,   -22.399,     0.000,         0.000,
 14704.000,  1287.254,   303.073,     4.174,     0.000,     0.000,     0.000,     0.250,   127.513,  1507.400,     1.000,     0.000,     6.035,   -70.329,     0.000,   327.960,   370.072,    45.997,   -17.780,     0.000,         0.000,
 14705.000,  1605.325,   303.051,     4.171,     0.000,     0.000,     0.000,     0.250,   127.491,  1491.100,     1.000,     0.000,     5.835,   -73.326,     0.000,   324.734,   371.892,    37.147,   -10.978,     0.000,         0.000,
 14706.000,  1472.798,   303.031,     4.162,     0.000,     0.000,     0.000,     0.250,   127.471,  1491.100,     1.000,     0.000,     5.645,   -59.998,     0.000,   331.676,   372.411,    28.607,    -9.344,     0.000,         0.000,
 14707.000,  1671.073,   303.009,     4.161,     0.000,     0.000,     0.000,     0.250,   127.449,  1491.100,     1.000,     0.000,     5.608,   -52.158,     0.000,   331.901,   369.183,    24.050,    -9.174,     0.000,         0.000,
 14708.000,  1792.833,   302.958,     4.167,     0.000,     0.000,     0.000,     0.250,   127.398,  1491.100,     1.000,     0.000,     5.689,   -80.350,     0.000,   317.806,   364.541,    31.637,     1.977,     0.000,         0.000,
 14709.000,  1529.465,   302.910,     4.172,     0.000,     0.000,     0.000,     0.250,   127.350,  1491.100,     1.000,     0.000,     6.235,  -132.050,     0.000,   284.580,   368.915,    42.079,     5.636,     0.000,         0.000,
 14710.000,  1233.267,   302.834,     4.160,     0.000,     0.000,     0.000,     0.250,   127.274,  1491.100,     1.000,     0.000,     5.941,   -71.802,     0.000,   343.137,   371.258,    52.382,    -8.702,     0.000,         0.000,
 14711.000,    30.344,   302.762,     4.156,     0.000,     0.000,     0.000,     0.250,   127.202,  1491.100,     1.000,     0.000,     5.783,   -73.040,     0.000,   330.419,   372.281,    42.641,   -11.463,     0.000,         0.000,
 14712.000,  1557.324,   302.687,     4.155,     0.000,     0.000,     0.000,     0.250,   127.127,  1491.100,     1.000,     0.000,     5.791,   -75.798,     0.000,   340.029,   373.287,    56.336,   -13.795,     0.000,         0.000,
 14713.000,  1381.830,   302.587,     4.159,     0.000,     0.000,     0.000,     0.250,   127.027,  1491.100,     1.000,     0.000,     6.138,   -67.577,     0.000,   343.942,   375.294,    60.126,   -23.901,     0.000,         0.000,
 14714.000,  1354.494,   302.486,     4.165,     0.000,     0.000,     0.000,     0.250,   126.926,  1491.100,     1.000,     0.000,     6.230,   -72.848,     0.000,   338.850,   378.859,    55.750,   -22.911,     0.000,         0.000,
 14715.000,  1395.641,   302.364,     4.166,     0.000,     0.000,     0.000,     0.250,   126.804,  1491.100,     1.000,     0.000,     6.183,   -86.115,     0.000,   341.805,   381.131,    61.552,   -14.763,     0.000,         0.000,
 14716.000,  1365.808,   302.253,     4.170,     0.000,     0.000,     0.000,     0.250,   126.693,  1491.100,     1.000,     0.000,     6.083,   -78.661,     0.000,   349.291,   380.192,    59.168,   -11.408,     0.000,         0.000,
 14717.000,  1590.231,   302.139,     4.164,     0.000,     0.000,     0.000,     0.250,   126.579,  1491.100,     1.000,     0.000,     5.912,   -74.497,     0.000,   332.877,   373.495,    32.266,     1.613,     0.000,         0.000,
