JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 19992.000,   422.593,   326.219,     9.832,     0.006,     0.000,     0.000,     0.250,   150.659,  1816.500,     1.000,     0.000,    15.655,  -229.274,     0.000,   339.109,   418.954,   147.933,     1.496,     0.000,         0.000,
 19993.000,   422.659,   326.170,     9.843,     0.006,     0.000,     0.000,     0.250,   150.610,  1816.500,     1.000,     0.000,    15.695,  -226.078,     0.000,   336.400,   418.672,   140.807,     2.999,     0.000,         0.000,
 19994.000,   379.085,   326.118,     9.889,     0.006,     0.000,     0.000,     0.250,   150.558,  1816.500,     1.000,     0.000,    15.717,  -236.891,     0.000,   331.076,   418.330,   143.427,     6.210,     0.000,         0.000,
 19995.000,   394.403,   326.086,     9.925,     0.005,     0.000,     0.000,     0.250,   150.526,  1816.500,     1.000,     0.000,    15.690,  -207.468,     0.000,   358.214,   417.869,   143.206,     4.607,     0.000,         0.000,
 19996.000,   526.881,   326.074,     9.922,     0.005,     0.000,     0.000,     0.250,   150.514,  1816.500,     1.000,     0.000,    15.673,  -209.746,     0.000,   325.604,   417.152,   109.156,     9.041,     0.000,         0.000,
 19997.000,   399.976,   326.052,     9.953,     0.005,     0.000,     0.000,     0.250,   150.492,  1816.500,     1.000,     0.000,    15.693,  -219.498,     0.000,   317.733,   416.676,   105.676,    14.879,     0.000,         0.000,
 19998.000,   335.837,   326.029,     9.975,     0.005,     0.000,     0.000,     0.250,   150.469,  1816.500,     1.000,     0.000,    15.720,  -227.585,     0.000,   313.146,   416.261,   108.116,    16.353,     0.000,         0.000,
 19999.000,   373.363,   326.012,    10.005,     0.005,     0.000,     0.000,     0.250,   150.452,  1816.500,     1.000,     0.000,    15.746,  -211.842,     0.000,   322.879,   416.078,   108.951,     9.693,     0.000,         0.000,
 20000.000,   383.478,   325.998,    10.068,     0.005,     0.000,     0.000,     0.250,   150.438,  1816.500,     1.000,     0.000,    15.778,  -203.280,     0.000,   330.368,   415.991,   112.780,     4.877,     0.000,         0.000,
 20001.000,   353.488,   325.995,    10.090,     0.004,     0.000,     0.000,     0.250,   150.435,  1816.500,     1.000,     0.000,    15.786,  -201.903,     0.000,   337.324,   415.960,   121.899,     1.368,     0.000,         0.000,
 20002.000,   362.845,   325.990,    10.098,     0.004,     0.000,     0.000,     0.250,   150.430,  1816.500,     1.000,     0.000,    15.767,  -201.058,     0.000,   335.442,   415.654,   118.856,     1.990,     0.000,         0.000,
 20003.000,   415.455,   325.982,    10.118,     0.004,     0.000,     0.000,     0.250,   150.422,  1816.500,     1.000,     0.000,    15.759,  -197.434,     0.000,   336.491,   415.180,   116.253,     2.491,     0.000,         0.000,
 20004.000,   267.144,   325.971,    10.152,     0.005,     0.000,     0.000,     0.250,   150.411,  1816.500,     1.000,     0.000,    15.773,  -193.102,     0.000,   331.204,   414.744,   105.645,     3.917,     0.000,         0.000,
 20005.000,   381.006,   325.966,    10.158,     0.004,     0.000,     0.000,     0.250,   150.406,  1816.500,     1.000,     0.000,    15.773,  -211.671,     0.000,   320.269,   414.184,   106.260,    11.497,     0.000,         0.000,
 20006.000,   521.336,   325.962,    10.230,     0.004,     0.000,     0.000,     0.250,   150.402,  1816.500,     1.000,     0.000,    15.783,  -224.165,     0.000,   315.273,   413.428,   104.564,    21.446,     0.000,         0.000,
