STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHD,H,25,TEMP W,19900907 1300,19900907 1300,---,,DEG F
SHD,H,25,TEMP W,19900907 1400,19900907 1400,---,,DEG F
SHD,H,25,TEMP W,19900907 1500,19900907 1500,---,,DEG F
SHD,H,25,TEMP W,19900907 1600,19900907 1600,---,,DEG F
SHD,H,25,TEMP W,19900907 1700,19900907 1700,---,,DEG F
SHD,H,25,TEMP W,19900907 1800,19900907 1800,---,,DEG F
SHD,H,25,TEMP W,19900907 1900,19900907 1900,---,,DEG F
SHD,H,25,TEMP W,19900907 2000,19900907 2000,---,,DEG F
SHD,H,25,TEMP W,19900907 2100,19900907 2100,---,,DEG F
SHD,H,25,TEMP W,19900907 2200,19900907 2200,---,,DEG F
SHD,H,25,TEMP W,19900907 2300,19900907 2300,---,,DEG F
SHD,H,25,TEMP W,19900908 0000,19900908 0000,---,,DEG F
SHD,H,25,TEMP W,19900908 0100,19900908 0100,---,,DEG F
SHD,H,25,TEMP W,19900908 0200,19900908 0200,---,,DEG F
SHD,H,25,TEMP W,19900908 0300,19900908 0300,---,,DEG F
SHD,H,25,TEMP W,19900908 0400,19900908 0400,---,,DEG F
SHD,H,25,TEMP W,19900908 0500,19900908 0500,---,,DEG F
SHD,H,25,TEMP W,19900908 0600,19900908 0600,---,,DEG F
SHD,H,25,TEMP W,19900908 0700,19900908 0700,---,,DEG F
SHD,H,25,TEMP W,19900908 0800,19900908 0800,---,,DEG F
SHD,H,25,TEMP W,19900908 0900,19900908 0900,---,,DEG F
SHD,H,25,TEMP W,19900908 1000,19900908 1000,---,,DEG F
SHD,H,25,TEMP W,19900908 1100,19900908 1100,---,,DEG F
SHD,H,25,TEMP W,19900908 1200,19900908 1200,---,,DEG F
SHD,H,25,TEMP W,19900908 1300,19900908 1300,---,,DEG F
SHD,H,25,TEMP W,19900908 1400,19900908 1400,---,,DEG F
SHD,H,25,TEMP W,19900908 1500,19900908 1500,---,,DEG F
SHD,H,25,TEMP W,19900908 1600,19900908 1600,---,,DEG F
SHD,H,25,TEMP W,19900908 1700,19900908 1700,---,,DEG F
SHD,H,25,TEMP W,19900908 1800,19900908 1800,---,,DEG F
SHD,H,25,TEMP W,19900908 1900,19900908 1900,---,,DEG F
SHD,H,25,TEMP W,19900908 2000,19900908 2000,---,,DEG F
SHD,H,25,TEMP W,19900908 2100,19900908 2100,---,,DEG F
SHD,H,25,TEMP W,19900908 2200,19900908 2200,---,,DEG F
SHD,H,25,TEMP W,19900908 2300,19900908 2300,---,,DEG F
SHD,H,25,TEMP W,19900909 0000,19900909 0000,---,,DEG F
SHD,H,25,TEMP W,19900909 0100,19900909 0100,---,,DEG F
SHD,H,25,TEMP W,19900909 0200,19900909 0200,---,,DEG F
SHD,H,25,TEMP W,19900909 0300,19900909 0300,---,,DEG F
SHD,H,25,TEMP W,19900909 0400,19900909 0400,---,,DEG F
SHD,H,25,TEMP W,19900909 0500,19900909 0500,---,,DEG F
SHD,H,25,TEMP W,19900909 0600,19900909 0600,---,,DEG F
SHD,H,25,TEMP W,19900909 0700,19900909 0700,---,,DEG F
SHD,H,25,TEMP W,19900909 0800,19900909 0800,---,,DEG F
SHD,H,25,TEMP W,19900909 0900,19900909 0900,---,,DEG F
SHD,H,25,TEMP W,19900909 1000,19900909 1000,---,,DEG F
SHD,H,25,TEMP W,19900909 1100,19900909 1100,---,,DEG F
SHD,H,25,TEMP W,19900909 1200,19900909 1200,---,,DEG F
SHD,H,25,TEMP W,19900909 1300,19900909 1300,---,,DEG F
SHD,H,25,TEMP W,19900909 1400,19900909 1400,---,,DEG F
SHD,H,25,TEMP W,19900909 1500,19900909 1500,---,,DEG F
SHD,H,25,TEMP W,19900909 1600,19900909 1600,---,,DEG F
SHD,H,25,TEMP W,19900909 1700,19900909 1700,---,,DEG F
SHD,H,25,TEMP W,19900909 1800,19900909 1800,---,,DEG F
SHD,H,25,TEMP W,19900909 1900,19900909 1900,---,,DEG F
SHD,H,25,TEMP W,19900909 2000,19900909 2000,---,,DEG F
SHD,H,25,TEMP W,19900909 2100,19900909 2100,---,,DEG F
SHD,H,25,TEMP W,19900909 2200,19900909 2200,---,,DEG F
SHD,H,25,TEMP W,19900909 2300,19900909 2300,---,,DEG F
SHD,H,25,TEMP W,19900910 0000,19900910 0000,---,,DEG F
SHD,H,25,TEMP W,19900910 0100,19900910 0100,---,,DEG F
SHD,H,25,TEMP W,19900910 0200,19900910 0200,---,,DEG F
SHD,H,25,TEMP W,19900910 0300,19900910 0300,---,,DEG F
SHD,H,25,TEMP W,19900910 0400,19900910 0400,---,,DEG F
SHD,H,25,TEMP W,19900910 0500,19900910 0500,---,,DEG F
SHD,H,25,TEMP W,19900910 0600,19900910 0600,---,,DEG F
SHD,H,25,TEMP W,19900910 0700,19900910 0700,---,,DEG F
SHD,H,25,TEMP W,19900910 0800,19900910 0800,---,,DEG F
SHD,H,25,TEMP W,19900910 0900,19900910 0900,---,,DEG F
SHD,H,25,TEMP W,19900910 1000,19900910 1000,---,,DEG F
SHD,H,25,TEMP W,19900910 1100,19900910 1100,---,,DEG F
SHD,H,25,TEMP W,19900910 1200,19900910 1200,---,,DEG F
SHD,H,25,TEMP W,19900910 1300,19900910 1300,---,,DEG F
SHD,H,25,TEMP W,19900910 1400,19900910 1400,---,,DEG F
SHD,H,25,TEMP W,19900910 1500,19900910 1500,---,,DEG F
SHD,H,25,TEMP W,19900910 1600,19900910 1600,---,,DEG F
SHD,H,25,TEMP W,19900910 1700,19900910 1700,---,,DEG F
SHD,H,25,TEMP W,19900910 1800,19900910 1800,---,,DEG F
SHD,H,25,TEMP W,19900910 1900,19900910 1900,---,,DEG F
SHD,H,25,TEMP W,19900910 2000,19900910 2000,---,,DEG F
SHD,H,25,TEMP W,19900910 2100,19900910 2100,---,,DEG F
SHD,H,25,TEMP W,19900910 2200,19900910 2200,---,,DEG F
SHD,H,25,TEMP W,19900910 2300,19900910 2300,---,,DEG F
SHD,H,25,TEMP W,19900911 0000,19900911 0000,---,,DEG F
SHD,H,25,TEMP W,19900911 0100,19900911 0100,---,,DEG F
SHD,H,25,TEMP W,19900911 0200,19900911 0200,---,,DEG F
SHD,H,25,TEMP W,19900911 0300,19900911 0300,---,,DEG F
SHD,H,25,TEMP W,19900911 0400,19900911 0400,---,,DEG F
SHD,H,25,TEMP W,19900911 0500,19900911 0500,---,,DEG F
SHD,H,25,TEMP W,19900911 0600,19900911 0600,---,,DEG F
SHD,H,25,TEMP W,19900911 0700,19900911 0700,---,,DEG F
SHD,H,25,TEMP W,19900911 0800,19900911 0800,---,,DEG F
SHD,H,25,TEMP W,19900911 0900,19900911 0900,---,,DEG F
SHD,H,25,TEMP W,19900911 1000,19900911 1000,---,,DEG F
SHD,H,25,TEMP W,19900911 1100,19900911 1100,---,,DEG F
SHD,H,25,TEMP W,19900911 1200,19900911 1200,---,,DEG F
SHD,H,25,TEMP W,19900911 1300,19900911 1300,---,,DEG F
SHD,H,25,TEMP W,19900911 1400,19900911 1400,---,,DEG F
SHD,H,25,TEMP W,19900911 1500,19900911 1500,---,,DEG F
SHD,H,25,TEMP W,19900911 1600,19900911 1600,---,,DEG F
SHD,H,25,TEMP W,19900911 1700,19900911 1700,---,,DEG F
SHD,H,25,TEMP W,19900911 1800,19900911 1800,---,,DEG F
SHD,H,25,TEMP W,19900911 1900,19900911 1900,---,,DEG F
SHD,H,25,TEMP W,19900911 2000,19900911 2000,---,,DEG F
SHD,H,25,TEMP W,19900911 2100,19900911 2100,---,,DEG F
SHD,H,25,TEMP W,19900911 2200,19900911 2200,---,,DEG F
SHD,H,25,TEMP W,19900911 2300,19900911 2300,---,,DEG F
SHD,H,25,TEMP W,19900912 0000,19900912 0000,---,,DEG F
