STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,23,OUTFLOW,19880118 0000,19880118 0100,1690,,CFS
SHA,D,23,OUTFLOW,19880119 0000,19880119 0100,1760,,CFS
SHA,D,23,OUTFLOW,19880120 0000,19880120 0100,2751,,CFS
SHA,D,23,OUTFLOW,19880121 0000,19880121 0100,1856,,CFS
SHA,D,23,OUTFLOW,19880122 0000,19880122 0100,1458,,CFS
SHA,D,23,OUTFLOW,19880123 0000,19880123 0100,1684,,CFS
SHA,D,23,OUTFLOW,19880124 0000,19880124 0100,2311,,CFS
SHA,D,23,OUTFLOW,19880125 0000,19880125 0100,2334,,CFS
SHA,D,23,OUTFLOW,19880126 0000,19880126 0100,1937,,CFS
SHA,D,23,OUTFLOW,19880127 0000,19880127 0100,1998,,CFS
SHA,D,23,OUTFLOW,19880128 0000,19880128 0100,1569,,CFS
SHA,D,23,OUTFLOW,19880131 0000,19880131 0100,2293,,CFS
SHA,D,23,OUTFLOW,19880201 0000,19880201 0100,2428,,CFS
SHA,D,23,OUTFLOW,19880202 0000,19880202 0100,2305,,CFS
SHA,D,23,OUTFLOW,19880203 0000,19880203 0100,2662,,CFS
SHA,D,23,OUTFLOW,19880204 0000,19880204 0100,2785,,CFS
SHA,D,23,OUTFLOW,19880205 0000,19880205 0100,3057,,CFS
SHA,D,23,OUTFLOW,19880206 0000,19880206 0100,2830,,CFS
SHA,D,23,OUTFLOW,19880207 0000,19880207 0100,2737,,CFS
SHA,D,23,OUTFLOW,19880208 0000,19880208 0100,2683,,CFS
SHA,D,23,OUTFLOW,19880209 0000,19880209 0100,2617,,CFS
SHA,D,23,OUTFLOW,19880210 0000,19880210 0100,2736,,CFS
SHA,D,23,OUTFLOW,19880211 0000,19880211 0100,3033,,CFS
SHA,D,23,OUTFLOW,19880212 0000,19880212 0100,2990,,CFS
SHA,D,23,OUTFLOW,19880213 0000,19880213 0100,2986,,CFS
SHA,D,23,OUTFLOW,19880215 0000,19880215 0100,2965,,CFS
SHA,D,23,OUTFLOW,19880216 0000,19880216 0100,3094,,CFS
SHA,D,23,OUTFLOW,19880217 0000,19880217 0100,3034,,CFS
SHA,D,23,OUTFLOW,19880218 0000,19880218 0100,2933,,CFS
SHA,D,23,OUTFLOW,19880221 0000,19880221 0100,2687,,CFS
SHA,D,23,OUTFLOW,19880222 0000,19880222 0100,2806,,CFS
SHA,D,23,OUTFLOW,19880223 0000,19880223 0100,3324,,CFS
SHA,D,23,OUTFLOW,19880224 0000,19880224 0100,3378,,CFS
SHA,D,23,OUTFLOW,19880225 0000,19880225 0100,3831,,CFS
SHA,D,23,OUTFLOW,19880228 0000,19880228 0100,4332,,CFS
SHA,D,23,OUTFLOW,19880229 0000,19880229 0100,3893,,CFS
SHA,D,23,OUTFLOW,19880301 0000,19880301 0100,3882,,CFS
SHA,D,23,OUTFLOW,19880302 0000,19880302 0100,3839,,CFS
SHA,D,23,OUTFLOW,19880303 0000,19880303 0100,3768,,CFS
SHA,D,23,OUTFLOW,19880306 0000,19880306 0100,11517,,CFS
SHA,D,23,OUTFLOW,19880307 0000,19880307 0100,3650,,CFS
SHA,D,23,OUTFLOW,19880308 0000,19880308 0100,3428,,CFS
SHA,D,23,OUTFLOW,19880313 0000,19880313 0100,6046,,CFS
SHA,D,23,OUTFLOW,19880314 0000,19880314 0100,5488,,CFS
SHA,D,23,OUTFLOW,19880315 0000,19880315 0100,5709,,CFS
SHA,D,23,OUTFLOW,19880316 0000,19880316 0100,6358,,CFS
SHA,D,23,OUTFLOW,19880317 0000,19880317 0100,5517,,CFS
SHA,D,23,OUTFLOW,19880320 0000,19880320 0100,6034,,CFS
SHA,D,23,OUTFLOW,19880321 0000,19880321 0100,5584,,CFS
SHA,D,23,OUTFLOW,19880322 0000,19880322 0100,5931,,CFS
SHA,D,23,OUTFLOW,19880323 0000,19880323 0100,5735,,CFS
SHA,D,23,OUTFLOW,19880324 0000,19880324 0100,5928,,CFS
SHA,D,23,OUTFLOW,19880327 0000,19880327 0100,8510,,CFS
SHA,D,23,OUTFLOW,19880328 0000,19880328 0100,8406,,CFS
SHA,D,23,OUTFLOW,19880329 0000,19880329 0100,7941,,CFS
SHA,D,23,OUTFLOW,19880330 0000,19880330 0100,8586,,CFS
SHA,D,23,OUTFLOW,19880331 0000,19880331 0100,9207,,CFS
SHA,D,23,OUTFLOW,19880403 0000,19880403 0000,10481,,CFS
SHA,D,23,OUTFLOW,19880404 0000,19880403 0100,10481,,CFS
SHA,D,23,OUTFLOW,19880405 0000,19880404 0100,11424,,CFS
SHA,D,23,OUTFLOW,19880406 0000,19880405 0100,11022,,CFS
SHA,D,23,OUTFLOW,19880407 0000,19880406 0100,11517,,CFS
SHA,D,23,OUTFLOW,19880408 0000,19880407 0100,11907,,CFS
SHA,D,23,OUTFLOW,19880410 0000,19880410 0000,14307,,CFS
SHA,D,23,OUTFLOW,19880411 0000,19880410 0100,14307,,CFS
SHA,D,23,OUTFLOW,19880412 0000,19880411 0100,14169,,CFS
SHA,D,23,OUTFLOW,19880413 0000,19880412 0100,14075,,CFS
