$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1.5,0,0,0,0,0,0,0,0,0,17.4,77.8,54.9,145.5,82.5,93.7,73.8,163.1,246.4,175,191.1,119,306.1,329.4,585.4,399.4,204.7,200.4,658.5,507,411.8,637.3,276.3,464.2,508.4,964.4,880.2,860,1214.3,1378.4,1534.1,1172.3,1447.5,1184.5,1171.1,1821.1,791.8,772,1109,2098.4,1352.2,1657.4,1849.3,3063.1,1425.8,0
3,0,0,0,0,0,0,0,0,0,0,57,7.8,108.7,64.3,78,56.6,146.2,228.7,149.3,172.7,107.2,274.2,282.4,539.1,367.4,190.1,185.2,608.5,478.4,394.9,597.2,251.9,428.2,491.4,919.9,843.5,788.9,1171.7,1346,1501.8,1131.9,1398.6,1134.1,1137.7,1790.2,771,743,1080.8,2053.9,1317.3,1609.7,1806,3029,1405.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0,55.9,48.9,67.5,43.1,133.2,210.9,120,155.5,103.4,234.5,215.8,470.2,325.3,181.4,175.3,533.8,442.8,382.5,540.9,225.8,380.8,473.5,854.1,794,673.7,1108.6,1300.6,1452.7,1071.7,1323,1059.8,1090.3,1743.7,748.4,707.4,1044.1,1989.3,1270.1,1541.4,1740.6,2973.9,1385.2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,27.7,26.8,117.3,169.9,94.7,127,88.6,213.2,189.6,416.8,288,166.8,160.3,485,408.7,369.1,500.5,207.2,354.8,422.4,800.4,761.9,593.9,1050.4,1242.4,1365.5,1007.2,1253,1018.4,1030.2,1656.5,711.9,678.3,997.8,1944.5,1231.1,1511.7,1675,2866.1,1354.1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,101.3,128.8,69.3,98.3,73.7,191.7,163.2,363.2,250.5,152.1,145,436,374.5,355.5,459.8,188.3,328.6,371.1,746.5,729.7,513.9,992,1184,1278.1,942.4,1182.9,976.7,969.8,1569.1,675.2,648.9,951.2,1899.4,1192,1481.9,1609.3,2758.1,1322.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,87.5,43.8,69.6,58.7,170.2,136.8,309.5,212.8,137.2,129.7,386.9,340.1,341.8,419.1,169.4,302.3,319.7,692.5,697.3,433.8,933.6,1125.6,1190.7,877.6,1112.6,935,909.4,1481.7,638.4,619.5,904.6,1854.2,1152.7,1452,1543.5,2649.9,1291.3,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,19.5,42,44.9,149.8,111.5,257,176.4,123.6,115.5,339,306.9,329.3,379.5,151.6,277.1,269.5,639.6,666.1,354.9,876.3,1068.3,1104.4,813.9,1043.5,894.4,850.2,1395.4,602.8,591.3,859.1,1810.2,1114.6,1423.2,1478.8,2543,1261.1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,32,130.3,87.1,205.4,140.8,110.8,102.3,291.9,274.7,317.7,340.9,134.8,252.9,220.2,587.7,635.8,276.9,820,1012,1019,751.2,975.4,854.8,791.9,1310,568.1,563.9,814.6,1767.1,1077.4,1395.4,1415.1,2437,1231.8,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,110.1,62,153.1,104.6,97.4,88.4,244.2,241.7,305.4,301.7,117.4,228.1,171.3,535.4,604.2,200.3,763.3,954.7,933.7,688.7,906.7,814.1,733.3,1224.1,532.7,535.7,769.3,1722.2,1038.5,1365.6,1351.2,2330.2,1201.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1,35,98.9,66.5,82,72.5,194.6,206.9,291.2,265.9,103.1,204.4,152.8,491.1,554.3,183.8,716.4,888,867.2,652.9,842.7,761.6,687,1142.1,497.6,501.8,720.5,1643.1,967.4,1298.6,1302.2,2221.3,1165,0
