 LAYERH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1.5,0,0,0,93.7,73.8,119,204.7,200.4,411.8,508.4,860,1172.3,1447.5,1184.5,772,1109,1352.2,1657.4,1849.3,3063.1,1425.8,0,0,0,77.8,246.4,306.1,658.5,964.4,0,0,0,54.9,82.5,191.1,329.4,507,637.3,880.2,1214.3,1171.1,0,0,0,0,17.4,145.5,163.1,175,585.4,399.4,464.2,1378.4,1534.1,1821.1,2098.4,0,0,0,0,276.3,791.8,0
3,0,0,0,78,56.6,107.2,190.1,185.2,394.9,491.4,788.9,1131.9,1398.6,1134.1,743,1080.8,1317.3,1609.7,1806,3029,1405.7,0,0,0,57,228.7,274.2,608.5,919.9,0,0,0,7.8,64.3,172.7,282.4,478.4,597.2,843.5,1171.7,1137.7,0,0,0,0,0,108.7,146.2,149.3,539.1,367.4,428.2,1346,1501.8,1790.2,2053.9,0,0,0,0,251.9,771,0
3,0,0,0,67.5,43.1,103.4,181.4,175.3,382.5,473.5,673.7,1071.7,1323,1059.8,707.4,1044.1,1270.1,1541.4,1740.6,2973.9,1385.2,0,0,0,0,210.9,234.5,533.8,854.1,0,0,0,0,48.9,155.5,215.8,442.8,540.9,794,1108.6,1090.3,0,0,0,0,0,55.9,133.2,120,470.2,325.3,380.8,1300.6,1452.7,1743.7,1989.3,0,0,0,0,225.8,748.4,0
3,0,0,0,27.7,26.8,88.6,166.8,160.3,369.1,422.4,593.9,1007.2,1253,1018.4,678.3,997.8,1231.1,1511.7,1675,2866.1,1354.1,0,0,0,0,169.9,213.2,485,800.4,0,0,0,0,30.5,127,189.6,408.7,500.5,761.9,1050.4,1030.2,0,0,0,0,0,0,117.3,94.7,416.8,288,354.8,1242.4,1365.5,1656.5,1944.5,0,0,0,0,207.2,711.9,0
3,0,0,0,0,10.2,73.7,152.1,145,355.5,371.1,513.9,942.4,1182.9,976.7,648.9,951.2,1192,1481.9,1609.3,2758.1,1322.7,0,0,0,0,128.8,191.7,436,746.5,0,0,0,0,0,98.3,163.2,374.5,459.8,729.7,992,969.8,0,0,0,0,0,0,101.3,69.3,363.2,250.5,328.6,1184,1278.1,1569.1,1899.4,0,0,0,0,188.3,675.2,0
3,0,0,0,0,0,58.7,137.2,129.7,341.8,319.7,433.8,877.6,1112.6,935,619.5,904.6,1152.7,1452,1543.5,2649.9,1291.3,0,0,0,0,87.5,170.2,386.9,692.5,0,0,0,0,0,69.6,136.8,340.1,419.1,697.3,933.6,909.4,0,0,0,0,0,0,46.8,43.8,309.5,212.8,302.3,1125.6,1190.7,1481.7,1854.2,0,0,0,0,169.4,638.4,0
3,0,0,0,0,0,44.9,123.6,115.5,329.3,269.5,354.9,813.9,1043.5,894.4,591.3,859.1,1114.6,1423.2,1478.8,2543,1261.1,0,0,0,0,47.5,149.8,339,639.6,0,0,0,0,0,42,111.5,306.9,379.5,666.1,876.3,850.2,0,0,0,0,0,0,0,19.5,257,176.4,277.1,1068.3,1104.4,1395.4,1810.2,0,0,0,0,151.6,602.8,0
3,0,0,0,0,0,32,110.8,102.3,317.7,220.2,276.9,751.2,975.4,854.8,563.9,814.6,1077.4,1395.4,1415.1,2437,1231.8,0,0,0,0,0,130.3,291.9,587.7,0,0,0,0,0,15.3,87.1,274.7,340.9,635.8,820,791.9,0,0,0,0,0,0,0,0,205.4,140.8,252.9,1012,1019,1310,1767.1,0,0,0,0,134.8,568.1,0
3,0,0,0,0,0,18.4,97.4,88.4,305.4,171.3,200.3,688.7,906.7,814.1,535.7,769.3,1038.5,1365.6,1351.2,2330.2,1201.7,0,0,0,0,0,110.1,244.2,535.4,0,0,0,0,0,0,62,241.7,301.7,604.2,763.3,733.3,0,0,0,0,0,0,0,0,153.1,104.6,228.1,954.7,933.7,1224.1,1722.2,0,0,0,0,117.4,532.7,0
3,0,0,0,0,0,0,82,72.5,291.2,152.8,183.8,652.9,842.7,761.6,501.8,720.5,967.4,1298.6,1302.2,2221.3,1165,0,0,0,0,0,88.1,194.6,491.1,0,0,0,0,0,0,35,206.9,265.9,554.3,716.4,687,0,0,0,0,0,0,0,0,98.9,66.5,204.4,888,867.2,1142.1,1643.1,0,0,0,0,103.1,497.6,0
