"JDAY","QOUT","QOUT.1","QOUT.2","QOUT.3","QOUT.4"
17179,1496.68730588394,0,0,0,0
17180,1468.11730588394,0,0,0,0
17181,1452.45730588394,0,0,0,0
17182,1363.28730588394,0,0,0,0
17183,1177.69730588394,0,0,0,0
17184,915.567305883938,0,0,0,0
17185,896.367305883938,0,0,0,0
17186,851.857305883938,0,0,0,0
17187,655.137305883938,0,0,0,0
17188,807.627305883938,0,0,0,0
17189,936.977305883938,0,0,0,0
17190,883.517305883938,0,0,0,0
17191,977.757305883938,0,0,0,0
17192,687.277305883938,0,0,0,0
17193,500.587305883938,0,0,0,0
17194,514.267305883938,0,0,0,0
17195,706.197305883938,0,0,0,0
17196,892.347305883938,0,0,0,0
17197,972.287305883938,0,0,0,0
17198,936.467305883938,0,0,0,0
17199,835.037305883938,0,0,0,0
17200,646.757305883938,0,0,0,0
17201,561.527305883938,0,0,0,0
17202,600.347305883938,0,0,0,0
17203,698.577305883938,0,0,0,0
17204,646.527305883938,0,0,0,0
17205,674.257305883938,0,0,0,0
17206,554.107305883938,0,0,0,0
17207,477.817305883938,0,0,0,0
17208,449.387305883938,0,0,0,0
17209,376.217305883938,0,0,0,0
17210,287.477305883938,0,0,0,0
17211,251.147305883938,0,0,0,0
17212,175.877305883938,0,0,0,0
17213,150.307305883938,0,0,0,0
17214,133.797305883938,0,0,0,0
17215,106.017305883938,0,0,0,0
17216,114.377305883938,0,0,0,0
17217,98.2273058839382,0,0,0,0
17218,96.1373058839382,0,0,0,0
17219,102.877305883938,0,0,0,0
17220,114.317305883938,0,0,0,0
17221,108.257305883938,0,0,0,0
17222,129.097305883938,0,0,0,0
17223,94.2973058839383,0,0,0,0
17224,89.4273058839382,0,0,0,0
17225,111.317305883938,0,0,0,0
17226,101.457305883938,0,0,0,0
17227,108.337305883938,0,0,0,0
17228,106.667305883938,0,0,0,0
17229,107.407305883938,0,0,0,0
17230,96.8473058839382,0,0,0,0
17231,118.877305883938,0,0,0,0
17232,120.627305883938,0,0,0,0
17233,121.507305883938,0,0,0,0
17234,117.487305883938,0,0,0,0
17235,120.287305883938,0,0,0,0
17236,124.737305883938,0,0,0,0
17237,114.767305883938,0,0,0,0
17238,118.957305883938,0,0,0,0
17239,114.227305883938,0,0,0,0
17240,141.127305883938,0,0,0,0
17241,138.927305883938,0,0,0,0
17242,140.647305883938,0,0,0,0
17243,107.657305883938,0,0,0,0
17244,122.867305883938,0,0,0,0
17245,130.257305883938,0,0,0,0
17246,126.997305883938,0,0,0,0
17247,135.747305883938,0,0,0,0
17248,136.547305883938,0,0,0,0
17249,144.667305883938,0,0,0,0
17250,144.527305883938,0,0,0,0
17251,142.067305883938,0,0,0,0
17252,150.167305883938,0,0,0,0
17253,148.977305883938,0,0,0,0
17254,146.937305883938,0,0,0,0
17255,140.937305883938,0,0,0,0
17256,131.727305883938,0,0,0,0
17257,145.177305883938,0,0,0,0
17258,139.687305883938,0,0,0,0
17259,138.497305883938,0,0,0,0
17260,127.677305883938,0,0,0,0
17261,131.167305883938,0,0,0,0
17262,131.877305883938,0,0,0,0
17263,137.537305883938,0,0,0,0
17264,121.707305883938,0,0,0,0
17265,136.827305883938,0,0,0,0
17266,152.657305883938,0,0,0,0
17267,151.667305883938,0,0,0,0
17268,130.707305883938,0,0,0,0
17269,134.277305883938,0,0,0,0
17270,152.147305883938,0,0,0,0
17271,167.777305883938,0,0,0,0
17272,173.327305883938,0,0,0,0
17273,173.357305883938,0,0,0,0
17274,158.097305883938,0,0,0,0
17275,146.427305883938,0,0,0,0
17276,140.677305883938,0,0,0,0
17277,142.237305883938,0,0,0,0
17278,131.027305883938,0,0,0,0
17279,140.987305883938,0,0,0,0
17280,153.447305883938,0,0,0,0
17281,153.337305883938,0,0,0,0
17282,159.767305883938,0,0,0,0
17283,186.547305883938,0,0,0,0
17284,174.287305883938,0,0,0,0
