$2/1/1990-8/29/2024 Sacramento River (proportional estimate),
,
JDAY,QIN
15790,234.3
15791,177.97
15792,169.2
15793,142.25
15794,133.9
15795,115.86
15796,117.85
15797,113.95
15798,111.88
15799,107.08
15800,130.76
15801,118.8
15802,112.33
15803,108.99
15804,99.33
15805,102.17
15806,94.86
15807,89.6
15808,85.02
15809,79.56
15810,78.54
15811,77.63
15812,78.63
15813,120.48
15814,94.22
15815,95.86
15816,89.25
15817,82.9
15818,79.72
15819,87.73
15820,81.51
15821,76.01
15822,76.74
15823,72.73
15824,70.26
15825,74.01
15826,74.15
15827,64.51
15828,59.68
15829,93.35
15830,74.87
15831,70.19
15832,72.41
15833,67.78
15834,66.69
15835,65.46
15836,57.62
15837,78.82
15838,59.13
15839,58.21
15840,62.17
15841,54.31
15842,53.69
15843,64.65
15844,55.06
15845,61.69
15846,47.21
15847,48.99
15848,54.75
15849,43.73
15850,43.8
15851,63.33
15852,59.16
15853,70.42
15854,44.81
15855,52.67
15856,63.26
15857,154.73
15858,126.72
15859,98.93
15860,81.12
15861,90.82
15862,85.2
15863,62.98
15864,79.28
15865,63.38
15866,72.49
15867,54.38
15868,65.39
15869,64.62
15870,65.42
15871,49.46
15872,47.61
15873,53.02
15874,48.36
15875,55.25
15876,39.43
15877,28.85
15878,46.76
15879,38.67
15880,34.02
15881,27.44
15882,52.2
15883,26.62
15884,31.35
15885,32.71
15886,31.98
15887,25.82
15888,37.52
15889,24.26
15890,32.84
15891,34.94
15892,19.96
15893,24.26
15894,37.15
15895,28.75
15896,28.03
15897,26.51
15898,19.37
15899,31.66
15900,22.27
15901,24.15
15902,21.59
15903,31.7
15904,29.31
15905,20.12
15906,28.11
15907,21.49
15908,28.11
15909,22.82
15910,26.25
15911,4.77
15912,33.14
15913,37.3
15914,23.47
15915,28.87
15916,7.68
15917,36.57
15918,18.55
15919,19.8
15920,26.27
15921,34.1
15922,9.64
15923,22.08
15924,24.54
15925,22.11
15926,20.04
15927,27.71
15928,19.69
15929,19.61
15930,20.61
15931,22.2
15932,22.21
15933,23.42
15934,17.91
15935,11.7
15936,37.48
15937,20.15
15938,28.48
15939,21.86
15940,23.94
15941,26.84
15942,14.23
15943,22.14
15944,21.2
15945,26.94
15946,16.58
15947,24.24
15948,16.93
15949,27.25
15950,16.75
15951,26.7
15952,18.39
15953,15.63
15954,20.19
15955,6.84
15956,37.47
15957,18.63
15958,15.51
15959,22.24
15960,20.26
15961,17.1
15962,28.04
15963,17.82
15964,23.24
15965,20.84
15966,22.11
15967,34.65
15968,9.97
15969,18.5
15970,7.95
15971,27.23
15972,29.18
15973,12.83
15974,17.43
15975,20.64
15976,21.86
15977,24.33
15978,15.15
15979,24.83
15980,17.13
15981,20.84
15982,24.46
15983,18.11
15984,22.6
15985,19.1
15986,17.11
15987,30.06
15988,37.28
15989,28.33
15990,15.71
15991,6.69
15992,18.72
15993,15.76
15994,32.33
15995,24.85
15996,26.21
15997,30.28
15998,24.94
15999,21.55
16000,18.25
16001,25.47
16002,23.61
16003,17.06
16004,23.18
16005,20.32
16006,19.58
16007,25.67
16008,25.19
16009,19.87
16010,24.44
16011,24.05
16012,20.19
16013,23.08
16014,22.06
16015,14.58
16016,25.1
16017,15.25
16018,27.44
16019,17.29
16020,23.25
16021,19.75
16022,27.74
16023,13.9
16024,20.95
16025,19.31
16026,20.33
16027,26.97
16028,11.39
16029,23.02
16030,12.95
16031,23.24
16032,23.55
16033,21.09
16034,20.47
16035,16.86
16036,8.43
16037,32.95
16038,9.33
16039,44.12
16040,23.85
16041,23.86
16042,15.92
16043,22.47
16044,19.23
16045,23.61
16046,28.11
16047,41.57
16048,90.86
16049,54.89
16050,45.67
16051,53.65
16052,41.12
16053,59.62
16054,47.15
16055,31.96
16056,26.38
16057,27.61
16058,25.98
16059,16.21
16060,31.15
16061,24.71
16062,26.39
16063,23.33
16064,15.84
16065,29.29
16066,11.64
16067,29.85
16068,23.99
16069,22.36
16070,24.66
16071,22.79
16072,6.94
16073,35.81
16074,18.03
16075,32.95
16076,30.65
16077,21.65
16078,27.01
16079,14.52
16080,26.49
16081,35.01
16082,22.89
16083,20.17
16084,25.93
16085,22.6
16086,12.31
16087,25.47
16088,32.77
16089,21.08
16090,23.83
16091,21.25
16092,26.36
16093,24.23
16094,60.54
16095,109.93
16096,80.93
16097,58.94
16098,41.71
16099,42.21
16100,21.76
16101,38.61
16102,34.54
16103,29.65
16104,17.24
16105,26.8
16106,29.67
16107,33.13
16108,42.64
16109,37.23
16110,36.42
16111,16.54
16112,57.07
16113,32.44
16114,24.18
16115,17.06
16116,37.64
16117,36.36
16118,27.22
16119,67.8
16120,66.35
16121,60.78
16122,53.08
16123,72.86
16124,54.9
16125,42.12
16126,43.05
16127,48.18
16128,56.86
16129,59.65
16130,51.28
16131,39.53
16132,53.67
16133,58.3
16134,45.76
16135,50.16
16136,58.63
16137,24.78
16138,47.74
16139,38.09
16140,48.58
16141,42.92
16142,41.97
16143,34.21
16144,41.93
16145,35.29
16146,48.31
16147,42.0
16148,33.77
16149,36.37
16150,33.55
16151,33.56
16152,30.23
16153,30.43
16154,39.16
16155,22.11
16156,22.69
16157,29.37
16158,43.47
16159,30.0
16160,31.22
16161,36.14
16162,17.33
16163,31.51
16164,18.72
16165,42.83
16166,34.5
16167,13.76
16168,30.91
16169,41.74
16170,40.54
16171,16.71
16172,19.4
16173,30.7
16174,27.62
16175,27.56
16176,25.53
16177,35.43
16178,30.29
16179,20.73
16180,27.88
16181,31.06
16182,26.98
16183,27.84
16184,37.15
16185,30.15
16186,43.41
16187,39.35
16188,30.95
16189,34.66
16190,17.38
16191,21.73
16192,29.78
16193,31.57
16194,27.19
16195,44.67
16196,22.15
16197,44.06
16198,26.33
16199,31.89
16200,29.13
16201,42.54
16202,35.41
16203,29.29
16204,41.29
16205,23.61
16206,23.23
16207,31.82
16208,31.19
16209,18.15
16210,22.43
16211,29.32
16212,30.78
16213,27.2
16214,30.81
16215,17.77
16216,34.2
16217,15.48
16218,34.13
16219,19.24
16220,19.93
16221,27.09
16222,30.56
16223,17.17
16224,22.19
16225,20.15
16226,27.88
16227,21.29
16228,20.73
16229,14.7
16230,24.39
16231,26.62
16232,21.0
16233,4.27
16234,22.7
16235,29.18
16236,6.2
16237,24.54
16238,25.38
16239,18.71
16240,13.36
16241,11.25
16242,32.85
16243,13.39
16244,19.54
16245,24.67
16246,11.57
16247,21.71
16248,12.3
16249,29.29
16250,12.29
16251,21.41
16252,15.44
16253,20.84
16254,18.15
16255,16.21
16256,19.9
16257,17.41
16258,18.49
16259,15.59
16260,21.9
16261,19.98
16262,10.18
16263,15.74
16264,22.17
16265,13.14
16266,19.81
16267,9.5
16268,23.44
16269,10.43
16270,16.29
16271,16.64
16272,19.26
16273,14.34
16274,18.63
16275,13.5
16276,8.44
16277,31.89
16278,6.08
16279,17.24
16280,19.96
16281,16.75
16282,6.0
16283,30.51
16284,10.26
16285,17.3
16286,20.17
16287,22.19
16288,9.01
16289,6.31
16290,9.28
16291,24.69
16292,18.63
16293,15.66
16294,14.3
16295,14.18
16296,26.0
16297,7.4
16298,19.91
16299,16.7
16300,13.25
16301,12.67
16302,14.6
16303,15.44
16304,8.03
16305,26.35
16306,15.54
16307,18.35
16308,17.49
16309,19.25
16310,13.53
16311,6.31
16312,22.16
16313,19.39
16314,21.32
16315,15.68
16316,10.89
16317,17.14
16318,13.97
16319,14.89
16320,15.53
16321,18.61
16322,13.62
16323,18.94
16324,14.72
16325,9.59
16326,21.89
16327,19.79
16328,13.66
16329,22.61
16330,19.49
16331,13.95
16332,11.97
16333,11.41
16334,25.32
16335,14.14
16336,9.75
16337,13.0
16338,24.82
16339,13.22
16340,20.58
16341,17.72
16342,14.71
16343,24.62
16344,11.92
16345,5.83
16346,16.29
16347,22.48
16348,18.73
16349,18.78
16350,16.73
16351,17.45
16352,13.72
16353,13.74
16354,26.99
16355,14.48
16356,16.01
16357,21.36
16358,19.73
16359,12.93
16360,14.91
16361,24.64
16362,16.0
16363,15.43
16364,16.89
16365,24.45
16366,25.96
16367,27.46
16368,32.37
16369,7.28
16370,24.58
16371,19.77
16372,5.8
16373,22.8
16374,8.4
16375,26.08
16376,20.12
16377,22.05
16378,9.61
16379,30.65
16380,17.27
16381,19.48
16382,14.96
16383,24.26
16384,50.96
16385,40.55
16386,30.15
16387,19.33
16388,20.27
16389,30.29
16390,11.68
16391,26.83
16392,16.73
16393,22.82
16394,18.04
16395,12.24
16396,28.65
16397,18.27
16398,21.71
16399,6.7
16400,26.93
16401,23.44
16402,31.33
16403,16.82
16404,16.16
16405,22.12
16406,23.58
16407,15.08
16408,32.54
16409,25.87
16410,20.16
16411,18.23
16412,21.48
16413,27.8
16414,22.3
16415,15.53
16416,20.07
16417,29.26
16418,21.79
16419,41.39
16420,13.13
16421,38.34
16422,26.74
16423,18.25
16424,40.97
16425,23.94
16426,22.81
16427,29.54
16428,9.94
16429,29.94
16430,20.83
16431,26.21
16432,23.91
16433,29.53
16434,20.12
16435,22.36
16436,15.09
16437,30.3
16438,12.15
16439,33.23
16440,31.16
16441,27.33
16442,51.48
16443,124.73
16444,342.32
16445,683.96
16446,525.25
16447,428.63
16448,509.03
16449,546.35
16450,557.71
16451,303.7
16452,212.13
16453,156.42
16454,124.98
16455,100.38
16456,93.38
16457,79.28
16458,107.61
16459,163.38
16460,163.11
16461,152.26
16462,130.04
16463,152.91
16464,145.58
16465,144.43
16466,186.15
16467,285.78
16468,309.84
16469,224.52
16470,181.76
16471,143.1
16472,128.55
16473,110.69
16474,100.31
16475,103.74
16476,85.75
16477,81.19
16478,82.07
16479,73.44
16480,82.84
16481,76.8
16482,68.44
16483,52.94
16484,69.02
16485,60.2
16486,61.91
16487,48.42
16488,63.5
16489,57.44
16490,65.18
16491,59.46
16492,59.65
16493,41.0
16494,50.25
16495,55.27
16496,56.24
16497,99.58
16498,140.28
16499,121.44
16500,114.97
16501,85.86
16502,85.84
16503,125.36
16504,532.16
16505,586.99
16506,560.85
16507,363.15
16508,448.51
16509,614.65
16510,467.38
16511,275.98
16512,203.19
16513,213.07
16514,183.93
16515,272.58
16516,258.85
16517,272.57
16518,230.47
16519,186.11
16520,165.12
16521,143.4
16522,136.15
16523,124.35
16524,122.3
16525,114.92
16526,111.08
16527,106.75
16528,105.16
16529,94.75
16530,95.53
16531,100.28
16532,176.05
16533,354.57
16534,268.0
16535,191.08
16536,160.77
16537,137.4
16538,131.23
16539,149.75
16540,133.48
16541,116.17
16542,108.19
16543,103.3
16544,102.06
16545,94.92
16546,130.46
16547,88.69
16548,84.9
16549,83.35
16550,80.77
16551,78.17
16552,78.19
16553,87.24
16554,86.99
16555,152.31
16556,162.82
16557,244.9
16558,221.24
16559,207.22
16560,193.84
16561,166.6
16562,154.15
16563,139.26
16564,126.19
16565,123.23
16566,117.97
16567,106.86
16568,107.23
16569,101.87
16570,94.77
16571,94.59
16572,88.81
16573,87.26
16574,86.16
16575,78.42
16576,85.4
16577,74.96
16578,81.37
16579,78.25
16580,68.59
